Ticket Number,Date,Application,Subject,Description,Steps Taken,Proposed Fix,ErrorNo
TK0439,9/28/2020,SP_INV,Unable to create goods issue,Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
TK0440,9/29/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0441,9/30/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0442,10/1/2020,SP_INV,Unable to approve sales order,Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
TK0443,10/2/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0444,10/3/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0445,10/4/2020,SP_INV,Unable to create purchase order,Unable to create purchase order,Checked user authorization,Adjusted user authorization to allow creating purchase orders.,
TK0446,10/5/2020,SP_INV,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0447,10/6/2020,SP_INV,Unable to create goods issue,Unable to create goods issue,Checked user authorization,Adjusted user authorization to allow creating goods issue.,
TK0448,10/7/2020,SP_INV,Unable to change material type,Unable to change material type,Checked user authorization,Adjusted user authorization to allow changing material type.,
TK0449,10/8/2020,SP_INV,Unable to post goods receipt,Unable to post goods receipt,Checked user authorization,Adjusted user authorization to allow posting goods receipt.,
TK0450,10/9/2020,SP_SL,Unable to view pricing information,Unable to view pricing information,Checked user authorization,Adjusted user authorization to allow viewing pricing information.,
TK0451,10/10/2020,SP_SL,Unable to approve sales order,Unable to approve sales order,Checked user authorization,Adjusted user authorization to allow approving sales order.,
TK0452,5/3/2021,SP_SL,Unable to access sales order,Unable to access sales order,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the Sales Order,User access rights reset and access to Sales Order granted.,
TK0453,5/4/2021,SP_SL,Unable to view the customer master data,Unable to view the customer master data,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer master data,User access rights reset and access to customer master data granted.,ERRSLS0369
TK0454,5/5/2021,SP_SL,Unable to access material master data,Unable to access material master data,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material master data,User access rights reset and access to material master data granted.,
TK0455,5/6/2021,SP_SL,Unable to view pricing conditions,Unable to view pricing conditions,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the pricing conditions,User access rights reset and access to pricing conditions granted.,
TK0456,5/7/2021,SP_SL,Unable to access invoice list,Unable to access invoice list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the invoice list,User access rights reset and access to invoice list granted.,
TK0457,5/8/2021,SP_SL,Unable to view delivery documents,Unable to view delivery documents,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the delivery documents,User access rights reset and access to delivery documents granted.,
TK0458,5/9/2021,SP_SL,Unable to access material groups,Unable to access material groups,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material groups,User access rights reset and access to material groups granted.,
TK0459,5/10/2021,SP_SL,Unable to view customer account group,Unable to view customer account group,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer account group,User access rights reset and access to customer account group granted.,
TK0460,5/11/2021,SP_SL,Unable to access stock overview,Unable to access stock overview,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the stock overview,User access rights reset and access to stock overview granted.,
TK0461,5/12/2021,SP_SL,Unable to view customer sales area,Unable to view customer sales area,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales area,User access rights reset and access to customer sales area granted.,
TK0462,5/13/2021,SP_SL,Unable to access material ledger,Unable to access material ledger,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material ledger,User access rights reset and access to material ledger granted.,
TK0463,5/14/2021,SP_SL,Unable to view sales order history,Unable to view sales order history,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the sales order history,User access rights reset and access to sales order history granted.,
TK0464,5/15/2021,SP_SL,Unable to access production orders,Unable to access production orders,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the production orders,User access rights reset and access to production orders granted.,
TK0465,5/16/2021,SP_SL,Unable to view customer delivery address,Unable to view customer delivery address,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer delivery address,User access rights reset and access to customer delivery address granted.,
TK0466,5/17/2021,SP_SL,Unable to access batch records,Unable to access batch records,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the batch records,User access rights reset and access to batch records granted.,
TK0467,5/18/2021,SP_SL,Unable to view customer sales data,Unable to view customer sales data,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer sales data,User access rights reset and access to customer sales data granted.,
TK0468,5/19/2021,SP_SL,Unable to access material document list,Unable to access material document list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the material document list,User access rights reset and access to material document list granted.,
TK0469,5/20/2021,SP_SL,Unable to view customer credit limit,Unable to view customer credit limit,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer credit limit,User access rights reset and access to customer credit limit granted.,
TK0470,5/21/2021,SP_SL,Unable to access inventory count,Unable to access inventory count,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the inventory count,User access rights reset and access to inventory count granted.,
TK0471,5/22/2021,SP_SL,Unable to view customer contact list,Unable to view customer contact list,1. Checked user access rights2. Checked authorization object for authorization3. Checked authorization profiles4. Reset the user access rights and granted access to the customer contact list,User access rights reset and access to customer contact list granted.,
